parameterization_id,ART Link Max,ART Link Mid,Base Infectivity,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,PreART Link Max,PreART Link Mid,PreART Link Min,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Swaziland: Infmrl Condoms Late,Swaziland: LOW Risk,Swaziland: Trns Condoms Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,Male To Female Young,Male To Female Old,iteration_number,run_number,sim_id,likelihood
106,0.947368434,2011,0.002336862,0.001291263,1991.749562,3.010098904,0.242828351,2000.85935,2.498044665,0.000459803,0.769874294,1995.180989,0.018325041,1982.962628,0.314060559,16.35967202,0.050543779,16.84580946,0.319540597,0.744131995,0.139063952,1996.909246,3.019657412,0.000136986,4.744424325,2.732044777,,8519,,1
107,0.950024946,2010.45566,0.00232876,0.001550278,1993.047639,2.789183776,0.21899174,2000.955173,2.623245584,0.000447939,0.843748362,1996.371354,0.001454155,1982.460758,0.321016776,16.58051773,0.04,17.66684857,0.302501329,0.740779385,0.110719743,1996.904546,2.894986847,0.000136986,4.927617203,2.803058338,,26749,,1
108,0.958329211,2010.185353,0.002267196,0.001,1993.00488,3.188155986,0.208439986,2001.65569,2.297605784,0.000461999,0.81685167,1996.99824,0,1982.642283,0.292498691,16.09000544,0.068229673,17.44489096,0.365328904,0.734660207,0.067596668,1996.622062,3.246987715,0.000276934,5.462839041,2.935856566,,893,,1
109,0.956769587,2010.593164,0.002338782,0.001338164,1992.762902,2.97569898,0.244289021,2002.292968,2.312580149,0.000441933,0.794704519,1993.606195,0.048703269,1983.273182,0.328226778,16.35274785,0.041350885,17.51314036,0.323781173,0.724464175,0.035731153,1995.758595,2.794942159,0.000136986,5.140912948,3.15780805,,22742,,1
110,0.959411638,2010.855835,0.00229524,0.001413876,1993.109111,3.202176656,0.221044502,2003.359208,2.772419852,0.000509513,0.81315587,1995.613403,0.176483488,1982.418766,0.309618928,16.17775004,0.04,17.70226008,0.397597773,0.727145912,0.111460564,1994.991367,3.251235385,0.000136986,4.984088054,2.946046603,,18733,,1
111,0.965764442,2010.184756,0.002327234,0.001154668,1992.629654,2.867057767,0.177820699,2001.981916,2.755499944,0.000511988,0.798920403,1996.440827,0,1980.996011,0.321982842,16.13918874,0.053979677,17.01318099,0.35546556,0.729428632,0.146690593,1995.794598,3.21521532,0.000136986,5.304652874,2.957783896,,45991,,1
112,0.949194387,2010.319457,0.00235,0.001468491,1992.108999,2.912286895,0.250761528,2000.94354,2.485808186,0.000375001,0.774738584,1996.281327,0,1982.601013,0.312253054,16.5038991,0.074565326,17.79743045,0.36213235,0.712877114,0.069038013,1997.299457,2.930105568,0.000136986,5.187146822,2.958439154,,62224,,1
113,0.954409349,2010.41603,0.002327836,0.001538492,1992.595836,2.916354672,0.217246253,2001.247288,2.269413961,0.000456716,0.827097641,1994.712188,0.046432103,1981.798732,0.299281948,16.34494123,0.053712118,17.72188303,0.346786391,0.732626749,0.125622809,1997.608888,2.937979268,0.000136986,4.684290628,2.962205522,,46931,,1
114,0.952443851,2010.723212,0.002331527,0.001547815,1992.26689,2.986659786,0.21045031,2001.801018,2.314638751,0.000465571,0.804385071,1995.321788,0,1982.540848,0.315520501,16.30746295,0.041334011,17.54225729,0.345442543,0.725981231,0.102332808,1996.655447,2.976710185,0.000136986,4.912707393,2.890634595,,49722,,1
115,0.958054107,2011,0.00235,0.001262873,1994.193566,2.841473166,0.230622828,2001.481673,1.765183415,0.000425007,0.799047165,1993.163433,0.035146127,1983.158664,0.320901878,15.66257977,0.04,17.94376129,0.337496618,0.70303503,0.078947993,1995.466156,2.698388699,0.000136986,4.669126634,2.707636805,,24240,,1
116,0.952581594,2010.607002,0.002268322,0.001451725,1991.424417,3.314278877,0.192248732,2002.183535,2.739371323,0.000636539,0.870823264,1994.756897,0,1983.084949,0.345935743,16.38388663,0.0525984,18.14853682,0.272539879,0.738934506,0.136527695,1996.878629,2.956092229,0.000136986,4.490355415,3.13644037,,55280,,1
117,0.953119822,2010.448885,0.002340115,0.001509573,1992.925006,3.003870204,0.212284144,2001.591997,2.501756407,0.000440168,0.816061155,1995.950134,0.004179599,1982.211036,0.3165576,16.42179943,0.04,17.56851494,0.344605121,0.729066953,0.086570944,1996.674685,3.117426141,0.000136986,4.967000971,2.900702539,,2312,,1
118,0.954868549,2011,0.002313595,0.001573786,1992.06952,3.019088488,0.217054716,2001.824202,2.367955802,0.000473674,0.792573226,1995.545751,0.01817686,1982.467266,0.311127309,16.48811761,0.044853077,17.54463314,0.345174144,0.735347293,0.10762298,1996.46639,2.965276454,0.000178105,4.735768867,2.8863217,,10911,,1
